id;nome;tipo;cpf;email;telefone;cidade;estado;data_cadastro;status;faixa_renda;limite_credito;score_relacionamento;vendedor_responsavel;canal_preferencial;ultima_compra;frequencia_compras_ano;ticket_medio;total_gasto;categoria
CLI111;Bianca Ferreira;Pessoa Física;111.***.***-**;bianca.ferreira111@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2025-09-09;Ativo;R$7-15 mil;10000;92;FUN029;Loja Física;2026-04-07;8;1201.0;9608;Prata
CLI112;Lucas Oliveira;Pessoa Física;112.***.***-**;lucas.oliveira112@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2025-03-08;Inativo;+R$15 mil;5000;66;FUN034;WhatsApp;2026-08-26;12;2411.33;28936;Ouro
CLI113;Lucas Oliveira;Pessoa Física;113.***.***-**;lucas.oliveira113@email.com;(11) 9XXXX-XXXX;São Paulo;SP;2021-01-07;Ativo;+R$15 mil;3000;76;FUN031;E-commerce;2026-02-15;20;31.2;624;Bronze
CLI114;Fábio Ribeiro;Pessoa Física;114.***.***-**;fábio.ribeiro114@email.com;(11) 9XXXX-XXXX;Osasco;SP;2024-02-01;Inativo;R$7-15 mil;10000;91;FUN025;WhatsApp;2026-07-04;7;7458.14;52207;Diamante
CLI115;Lucas Lima;Pessoa Física;115.***.***-**;lucas.lima115@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2022-08-28;Ativo;R$3-7 mil;3000;71;FUN024;E-commerce;2026-06-02;17;85.59;1455;Bronze
CLI116;Caio Silva;Pessoa Física;116.***.***-**;caio.silva116@email.com;(11) 9XXXX-XXXX;São Bernardo;SP;2024-01-04;Ativo;Até R$3 mil;3000;79;FUN037;WhatsApp;2026-02-16;24;1117.54;26821;Ouro
CLI117;Vanessa Costa;Pessoa Física;117.***.***-**;vanessa.costa117@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2022-03-22;Ativo;+R$15 mil;3000;62;FUN028;Loja Física;2026-02-20;6;168.0;1008;Bronze
CLI118;Leonardo Oliveira;Pessoa Física;118.***.***-**;leonardo.oliveira118@email.com;(11) 9XXXX-XXXX;Guarulhos;SP;2023-06-27;Ativo;Até R$3 mil;5000;69;FUN033;Loja Física;2026-01-06;3;3571.0;10713;Ouro
CLI119;Natália Gomes;Pessoa Física;119.***.***-**;natália.gomes119@email.com;(11) 9XXXX-XXXX;Osasco;SP;2022-01-09;Ativo;R$7-15 mil;5000;70;FUN031;E-commerce;2026-02-11;14;1337.86;18730;Ouro
CLI120;Rodrigo Ferreira;Pessoa Física;120.***.***-**;rodrigo.ferreira120@email.com;(11) 9XXXX-XXXX;Santo André;SP;2021-05-25;Ativo;R$7-15 mil;10000;76;FUN030;Loja Física;2026-02-13;16;162.69;2603;Bronze
